article_title,article_published_dt,article_section,article_source,link,event_index,status,provider,payer,market,program,effective_date,states,geography_detail,reason,member_impact,summary,record_type,closure_type
No ACA plans to cover Chicago's Lurie Children's in 2026,2025-12-05T10:48:29-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/no-aca-plans-to-cover-chicagos-lurie-childrens-in-2026,2,Active Closure,Carle Health’s Health Alliance,,,,,IL,,Health Alliance is shutting down.,,"Carle Health’s Health Alliance is shutting down, leading Lurie to no longer take its commercial plan.",closure,other_closure
Texas delays Medicaid contract awards,2024-10-31T20:08:48-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/texas-delays-medicaid-contract-awards,1,Planned Closure,Cook Children’s Health Plan,,,,,TX,,The health plan would likely shut down without the contract awards.,1.8 million Medicaid beneficiaries would have to switch plans.,"Cook Children’s Health Plan is likely to shut down due to the delay in Medicaid contract awards. The effective date is not specified, and it impacts 1.8 million beneficiaries who would need to switch to new managed care plans.",closure,other_closure
Texas delays Medicaid contract awards,2024-10-31T20:08:48-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/texas-delays-medicaid-contract-awards,2,Planned Closure,Driscoll Children’s Health Plan,,,,,TX,,The health plan would likely shut down without the contract awards.,1.8 million Medicaid beneficiaries would have to switch plans.,"Driscoll Children’s Health Plan is likely to shut down due to the delay in Medicaid contract awards. The effective date is not specified, and it impacts 1.8 million beneficiaries who would need to switch to new managed care plans.",closure,other_closure
7 state Medicaid contract updates,2024-09-06T16:32:20-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/7-state-medicaid-contract-updates,3,Planned Closure,Cook Children’s Health Plan,,,,,TX,,Lost out on Medicaid contract awards.,Health plans will likely shut down if they are not awarded contracts.,Executives at Cook Children’s Health Plan indicated that the health plan will likely shut down if they do not receive Medicaid contract awards.,closure,other_closure
"6 months after splitting, California health system is back in network with 3 major payers",2023-03-07T19:06:33-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/6-months-after-splitting-community-health-system-is-back-in-network-with-3-major-payers,3,Active Closure,Madera Community Hospital,,,,2023-01-01,CA,"Madera County, Fresno County",Care access issues,,"Madera Community Hospital shut its doors at the beginning of 2023, leading to declared states of emergency in Madera and Fresno Counties due to care access issues.",closure,hospital_closure
"Amid insurance fight, some California hospital staff lose health coverage at their own facilities",2023-01-18T14:41:09-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/amid-insurance-fight-some-california-hospital-staff-lose-health-coverage-at-their-own-facilities,2,Active Closure,Madera Community Hospital,,,,2022-12-30,CA,Madera,Closure due to lack of services.,"Serves about 160,000 residents in the county.","Madera Community Hospital began closing on Dec. 30, prompting an emergency declaration from Madera County officials over a lack of services. This closure has put additional strain on other area hospitals.",closure,hospital_closure
"Amid insurance fight, some California hospital staff lose health coverage at their own facilities",2023-01-18T14:41:09-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/amid-insurance-fight-some-california-hospital-staff-lose-health-coverage-at-their-own-facilities,3,Active Closure,Affiliated clinics,,,,2023-01-10,CA,"Madera, Mendota, Chowchilla",Closure of affiliated clinics.,,"By Jan. 10, closures included three affiliated clinics in Madera, Mendota, and Chowchilla.",closure,facility_closure
UnitedHealth Group in the headlines: 10 updates,2026-03-02T15:22:39-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/unitedhealth-group-in-the-headlines-10-updates-22,1,Planned Closure,Optum,,,,2027-01-01,OR,Portland,,,"Optum is closing Family Medical Group Northeast, a clinic in Portland, Ore. The closure is planned to take effect at the start of 2027.",closure,office_closure
Florida brokerage exec gets 3 years for role in $133M ACA fraud scheme,2026-01-09T11:07:14-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/aca/florida-brokerage-exec-gets-3-years-for-role-in-133m-aca-fraud-scheme,1,Resolved,Fiorella Insurance Agency,,,,,FL,,The agency was involved in a fraudulent scheme and has since closed.,,"Fiorella Insurance Agency, located in Florida, has closed following involvement in a $133 million ACA fraud scheme. The closure is a result of legal actions against its executive for submitting fraudulent applications.",closure,office_closure
UnitedHealth Group in the headlines: 11 updates,2025-12-29T13:20:09-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/unitedhealth-group-in-the-headlines-11-updates-2,1,Active Closure,Optum,,,,,MO,Kansas City area,,,Optum is shuttering three community centers in the Kansas City area.,closure,facility_closure
"New York state lawmakers push for investigation of Optum over network changes, clinic closures",2025-12-04T15:47:18-06:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/new-york-state-lawmakers-urge-probe-of-optum-for-dropping-plans-closing-practices,2,Active Closure,Optum,,,,,"NY,NJ,CT","Somers, NY; clinics in New Jersey and Connecticut",Shuttering of facilities.,,"Optum is shuttering a multispecialty medical office in Somers, NY, along with clinics in New Jersey and Connecticut. This decision is part of the company's response to cuts in Medicaid funding.",closure,office_closure
