title,published_dt,section,source,link,note
Connecticut renews Anthem contract for state employee benefits,2026-02-20T15:06:05-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/connecticut-renews-anthem-contract-for-state-employee-benefits,The article discusses a contract renewal and does not mention any exit events or closures.
Nevada seeking bids for dual-eligible special needs plan,2026-01-30T15:28:21-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/payer/medicaid/nevada-seeking-bids-for-dual-eligible-special-needs-plan,The article discusses a request for proposals for a new plan but does not mention any exit events or closures.
"Anthem Blue Cross, Montage hospital reach agreement",2026-01-26T11:36:47-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/anthem-blue-cross-montage-hospital-still-in-contract-talks,"The article discusses a contract agreement between Anthem Blue Cross and Montage Health, with no exits or closures mentioned."
CMS to suspend enrollment into Elevance’s Medicare Advantage plans,2026-03-02T10:26:58-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/cms-to-suspend-enrollment-into-elevances-medicare-advantage-plans,The article discusses sanctions and enrollment suspension but does not describe any exit events or closures.
Humana deepens Google Cloud ties with AI-powered Agent Assist,2026-02-03T13:37:48-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/virtual-care/humana-harnesses-google-cloud-ai-for-member-support-tool,The article discusses a technology partnership and service enhancement without mentioning any exit events or closures.
"UnitedHealth senior exec, former Optum CEO, departs company",2026-02-27T09:57:37-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/executive-moves/unitedhealth-senior-exec-former-optum-ceo-departs-company,The article discusses the departure of a senior executive but does not mention any exit events or closures.
Former Optum director found guilty in $1.2M fraud scheme against company,2026-02-19T10:22:48-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/legal/former-optum-director-found-guilty-in-1-2m-fraud-scheme-against-company,The article discusses a fraud case involving a former employee of Optum but does not mention any exit events or closures.
'The finger pointing isn't working': Aetna's president talks rebuilding payer-provider trust,2026-02-19T16:49:51-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/leadership/the-finger-pointing-isnt-working-aetnas-president-talks-rebuilding-payer-provider-trust,The article discusses payer-provider relations and strategies without mentioning any specific exit events or closures.
Humana's 5 highest-paid execs in 2025,2026-03-09T15:09:49-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/workforce/humanas-5-highest-paid-execs-in-2025,The article discusses executive compensation and does not mention any exit events or closures.
"UnitedHealthcare, SSM ink multi-year contract",2026-01-20T17:08:29-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/unitedhealthcare-ssm-health-face-split,"The article discusses a contract extension ensuring continued in-network access, with no exits or closures mentioned."
"Cigna, Tenet reach agreement after tense negotiations",2025-12-31T13:33:31-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/tenet-cigna-tensions-heat-up-as-contract-deadline-nears,"The article discusses a contract agreement between Cigna and Tenet Healthcare, with no exits or closures mentioned."
"BCBS Texas, Ascension Texas reach agreement",2025-12-31T12:23:46-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/bcbs-of-texas-ascension-texas-still-in-negotiations,"The article discusses a contract agreement between a payer and provider, with no exits or closures mentioned."
U of Kansas Health's St. Francis Campus to stay in BCBS of Kansas network,2025-12-26T09:30:26-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/bcbs-of-kansas-u-of-kansas-healths-st-francis-campus-continue-network-talks,The article discusses a contract agreement that prevents an exit event and does not mention any closures.
Michigan seeking bids for pharmacy benefits administration,2025-12-17T12:38:15-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/michigan-seeking-bids-for-pharmacy-benefits-administration,The article discusses a request for bids for pharmacy benefits administration but does not mention any exit events or closures.
Aetna is back to covering Providence Oregon,2025-12-10T12:29:32-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/aetna-is-back-to-covering-providence-oregon,"The article discusses a reestablishment of a contract between Aetna and Providence Oregon, with no exits or closures mentioned."
"Humana, Bon Secours Mercy Health to continue network agreement",2025-11-18T13:43:24-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/humana-bon-secours-mercy-health-to-continue-network-agreement,"The article discusses a continued network agreement between a provider and payer, with no exits or closures mentioned."
"Cigna, Star Valley Health reach agreement",2025-11-18T09:21:06-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/cigna-star-valley-health-reach-agreement,"The article discusses a provider returning to a payer's network, not an exit event or closure."
"Harvard Pilgrim, Northern Light partner to expand care access with ACA plan in Maine",2025-11-17T14:19:42-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/harvard-pilgrim-northern-light-expand-access-in-maine,The article discusses a partnership to expand care access and does not mention any exit events or closures.
"New York City comptroller OKs employee plan with UnitedHealthcare, EmblemHealth",2025-11-14T14:43:52-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/new-york-city-comptroller-oks-employee-plan-with-unitedhealthcare-emblemhealth,The article discusses a new health plan contract but does not mention any exit events or closures.
"BCBS of Massachusetts, UMass Memorial reach 3-year deal",2025-11-13T13:48:44-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/bcbs-of-massachusetts-umass-memorial-reach-3-year-deal,"The article discusses a new contract agreement between UMass Memorial Health and BCBS of Massachusetts, with no exits or closures mentioned."
Elevance fighting to keep New York City health plan contract: Bloomberg,2025-11-13T10:11:40-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/elevance-fighting-to-keep-new-york-city-contract-bloomberg,The article discusses a contractual dispute and potential changes to a health plan but does not describe any exit events or closures.
"UnitedHealthcare, Carson Tahoe Health extend contract for Nevada state employees",2025-11-12T09:55:55-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/unitedhealthcare-carson-tahoe-health-extend-contract-for-nevada-state-employees,The article discusses a contract extension and does not mention any exit events or closures.
Eli Lilly to drop CVS drug benefits plan for employees,2025-11-12T09:39:24-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/eli-lilly-to-drop-cvs-drug-benefits-plan-for-employees,The article discusses a change in drug benefits administration but does not describe any exit events or closures.
"Anthem, Northern Light ink agreement",2025-11-06T09:23:46-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/anthem-northern-light-ink-agreement,"The article discusses a new agreement between Northern Light Health and Anthem Blue Cross and Blue Shield, which keeps the provider in-network for members, but does not mention any exit events or closures."
"Anthem Blue Cross, Cedars-Sinai extend contract",2025-10-23T08:00:00-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/anthem-blue-cross-cedars-sinai-extend-contract,"The article discusses a contract extension between Cedars-Sinai and Anthem Blue Cross, with no exits or closures mentioned."
"UnitedHealthcare, Ascension Wisconsin renew contract",2025-10-14T13:52:53-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/unitedhealthcare-ascension-wisconsin-renew-contract,The article discusses a contract renewal and does not mention any exit events or closures.
"Duke Health, Aetna finalize multi-year contract",2025-10-03T16:51:09-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/duke-health-aetna-finalize-multi-year-contract,"The article discusses a contract agreement between Duke Health and Aetna, with no mention of any exit events or closures."
"Norton, Cigna reach agreement",2025-10-03T15:14:08-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/cigna-kentucky-system-to-go-out-of-network,"The article discusses a contract extension between Norton Healthcare and Cigna, with no exits or closures mentioned."
New Hampshire pauses $27M Anthem contract renewal,2025-09-19T09:51:40-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/new-hampshire-pauses-27m-anthem-contract-renewal,The article discusses a paused contract renewal but does not describe any exit events or closures.
"Cigna, HCA-owned New Hampshire hospital reach new deal",2025-09-04T13:26:37-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/cigna-hca-owned-new-hampshire-hospital-near-split-date,"The article discusses a new contract between a hospital and a payer, ensuring continued in-network status, with no exits or closures mentioned."
Aetna beats AvMed for Miami-Dade health benefits contract,2025-08-15T09:04:57-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/aetna-beats-avmed-for-miami-dade-health-benefits-contract,The article discusses a contract change between payers but does not describe any exit events or closures.
"UnitedHealthcare, UAB Health finalize new contract",2025-08-11T09:45:41-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/unitedhealthcare-uab-health-reach-tentative-deal-at-deadline,"The article discusses a finalized contract between a health system and a payer, with no exit events or closures mentioned."
"Cigna, BJC Health System strike new deal",2025-08-04T09:29:26-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/cigna-bjc-health-system-strike-new-deal,"The article discusses a new agreement between Cigna and BJC Health System, indicating that they will remain in-network, with no exits or closures mentioned."
3 states awarding Medicaid contracts in 2025,2025-07-01T11:48:00-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/3-states-awarding-medicaid-contracts-in-2025,The article discusses new Medicaid contracts being awarded but does not mention any exit events or closures.
Slower start to payer-hospital contract disputes in 2025,2025-05-12T14:33:34-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/slower-start-to-payer-hospital-contract-disputes-in-2025,The article discusses contract disputes and network breaks but does not mention any specific exit events or closures.
BCBS North Carolina wants hospital sanctioned over longstanding reimbursement dispute,2025-05-05T15:08:08-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/bcbs-north-carolina-wants-hospital-sanctioned-over-longstanding-reimbursement-dispute,The article discusses a legal dispute over reimbursement practices but does not mention any exit events or closures.
Aetna clinches Pennsylvania state health plan contract,2025-04-01T09:51:19-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/aetna-clinches-pennsylvania-state-health-plan-contract,The article discusses a new contract awarded to Aetna but does not mention any exit events or closures.
Nevada to award Medicaid contracts,2025-03-17T15:09:06-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/nevada-to-award-medicaid-contracts,The article discusses the awarding of Medicaid contracts but does not mention any exit events or closures.
Illinois awards 4 D-SNP contracts,2025-03-11T14:55:40-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/illinois-awards-4-d-snp-contracts,The article discusses new contracts and program transitions without mentioning any exits or closures.
"New York system drops lawsuit against payer, strikes new contract",2025-02-07T14:53:26-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/new-york-system-drops-lawsuit-against-payer-strikes-new-contract,The article discusses a lawsuit and payment withholding but does not describe any exit events or closures.
"New Hampshire regulators intervene in Anthem, hospital contract fight",2025-01-06T20:02:44-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/new-hampshire-regulators-intervene-in-anthem-hospital-contract-fight,The article discusses ongoing negotiations and potential disruptions but does not report any specific exit events or closures.
"UnitedHealthcare, Virginia Mason Franciscan Health strike new deal",2024-12-30T17:11:58-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/unitedhealthcare-virginia-mason-franciscan-health-strike-new-deal,"The article discusses a new deal between UnitedHealthcare and Virginia Mason Franciscan Health, indicating continued access for patients without any exit events or closures."
Georgia to award 4 Medicaid contracts,2024-12-05T16:08:05-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/georgia-to-award-4-medicaid-contracts,The article discusses Medicaid contract awards and does not mention any exit events or closures.
"Michigan cancels new D-SNP contracts, reopens bidding",2024-11-14T14:16:52-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/michigan-cancels-new-d-snp-contracts-reopens-bidding,The article discusses contract bidding and cancellations but does not describe any exit events or closures.
Ohio awards D-SNP contracts to 4 payers,2024-11-04T14:51:50-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/ohio-awards-d-snp-contracts-to-4-payers,The article discusses new contracts for D-SNP coverage but does not mention any exit events or closures.
