article_title,article_published_dt,article_section,article_source,link,event_index,status,provider,payer,market,program,effective_date,states,geography_detail,reason,member_impact,summary,record_type,event_type
South Carolina system to go out of network with Aetna,2026-03-09T16:36:18-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/south-carolina-system-to-go-out-of-network-with-aetna,1,Planned Exit,Spartanburg Regional Healthcare System,Aetna,Medicare Advantage,,2026-04-15,SC,,Misalignment with Aetna's Medicare contract due to significant policy changes.,Continuity-of-care opportunities for patients with a special condition.,"Spartanburg Regional Healthcare System is set to go out of network with Aetna's commercial and Medicare Advantage plans on April 15 due to a misalignment with the insurer's Medicare contract. The health system stated that Aetna's latest proposal deviates from long-standing practices, making it impossible to accept the current terms.",exit,provider_payer_exit
Mount Sinai out of network with Anthem,2026-03-04T14:04:14-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/9000-mount-sinai-physicians-exit-anthem-network,1,Active Exit,Mount Sinai,Anthem,Unknown,,2026-03-04,NY,New York City,Contract expired and negotiations failed.,"9,000 physicians exiting the Anthem market; Medicare Advantage members lost access to providers and hospitals.","Mount Sinai and Anthem are completely out of network as of March 4, following a contract expiration on December 31, 2025. This resulted in 9,000 physicians exiting the Anthem market, impacting Medicare Advantage members who lost access to both providers and hospitals.",exit,provider_payer_exit
UConn Health to go back in network with Aetna,2026-02-25T14:41:08-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/uconn-health-out-of-network-with-aetna,1,Resolved,University of Connecticut Health,Aetna,Medicare Advantage | Commercial,,2026-03-01,CT,,"Contract originally expired Dec. 1, prompting UConn Health to go out of network.",Some commercial members were still able to access UConn Health hospitals through January.,"University of Connecticut Health will go back in network for Aetna commercial and Medicare Advantage members starting March 1. The contract originally expired on Dec. 1, which led to UConn Health going out of network.",exit,provider_payer_exit
‘Sometimes these things defy all business logic’: Inside the calculus of going out-of-network,2026-02-05T16:43:51-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/sometimes-these-things-defy-all-business-logic-inside-the-calculus-of-going-out-of-network,1,Planned Exit,Mount Sinai,Anthem,Commercial,,2026-01-01,,New York City,Contract negotiations failed due to rate disputes.,"200,000 commercial patients affected annually.","Mount Sinai's physicians went out-of-network with Anthem at the start of 2026, with facilities set to follow in March. The decision was driven by failed contract negotiations over rate disputes, impacting approximately 200,000 commercial patients in New York City.",exit,provider_payer_exit
‘Sometimes these things defy all business logic’: Inside the calculus of going out-of-network,2026-02-05T16:43:51-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/sometimes-these-things-defy-all-business-logic-inside-the-calculus-of-going-out-of-network,2,Active Exit,Johns Hopkins Medicine,UnitedHealthcare,Commercial,,2023-09-01,,Baltimore,Negotiations ended without a new deal due to overly burdensome demands.,,Johns Hopkins Medicine ended negotiations with UnitedHealthcare without a new deal in September 2023. The termination was attributed to UnitedHealthcare's overly burdensome demands during the negotiation process.,exit,provider_payer_exit
"CommonSpirit, Cigna go out of network in Tennessee, Georgia",2026-02-03T15:58:04-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/commonspirit-cigna-go-out-of-network-in-tennessee-georgia,1,Active Exit,CommonSpirit Health,Cigna Healthcare,Commercial,,2026-02-01,"TN,GA","Chattanooga, Hixson, Ringgold",Contract termination due to rejected proposals and price increase requests.,Cigna customers receiving treatment at CommonSpirit Memorial Hospital may need to transition to another in-network provider.,"CommonSpirit Health's facilities in Tennessee and Georgia went out of network with Cigna Healthcare on February 1. The split affects individuals covered by Cigna’s commercial plans, including three hospitals and over 650 physicians. The exit is due to rejected proposals and significant price increase requests.",exit,provider_payer_exit
CVS pharmacies to go out of network for 850K Medicaid enrollees in New Jersey,2026-01-28T09:03:51-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/cvs-pharmacies-to-go-out-of-network-for-850k-medicaid-enrollees-in-new-jersey,1,Active Exit,CVS Pharmacy,Horizon NJ Health,Medicaid,,2026-04-30,NJ,,CVS refused to negotiate a fair price and chose instead to leave the Medicaid pharmacy network.,"More than 850,000 members will lose in-network access to CVS pharmacies.","CVS Pharmacy will exit the Medicaid network of Horizon NJ Health effective April 30, impacting over 850,000 members in New Jersey. CVS refused to negotiate on prescription costs, leading to the termination of their contract.",exit,provider_payer_exit
Lehigh Valley Health Network to exit UnitedHealthcare Medicare Advantage Jan. 26: 5 things to know,2026-01-22T09:23:23-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/jeffersons-lehigh-valley-health-network-to-exit-unitedhealthcare-medicare-advantage-jan-26-5-things-to-know,1,Planned Exit,Lehigh Valley Health Network,UnitedHealthcare,Medicare Advantage,,2026-01-26,PA,Allentown,Contract dispute between LVHN and UnitedHealthcare.,Patients with Medicare Advantage coverage will no longer be able to access LVHN services at in-network rates.,"Lehigh Valley Health Network will exit UnitedHealthcare’s Medicare Advantage network on January 26 due to a contract dispute. Patients with Medicare Advantage will lose in-network access to LVHN services, although they may seek care out of network.",exit,provider_payer_exit
Medicare Advantage’s ‘sunk-cost’ problem,2026-02-20T08:40:53-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/medicare-advantages-sunk-cost-problem,1,Active Exit,Scripps Health,Medicare Advantage,Medicare Advantage,,2024-01-01,,San Diego,Losing about $75 million a year on those contracts.,"Affected roughly 32,000 beneficiaries across five health plans.","Scripps Health exited nearly all of its commercial Medicare Advantage contracts on January 1, 2024, due to significant financial losses. This decision affected approximately 32,000 beneficiaries across five health plans in San Diego.",exit,provider_payer_exit
Medicare Advantage’s ‘sunk-cost’ problem,2026-02-20T08:40:53-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/medicare-advantages-sunk-cost-problem,2,Active Exit,Providence,UnitedHealthcare,Medicare Advantage,,,,California,Not seeing fair performance in how they are paid for the care provided.,,Providence Clinical Network went out of network with UnitedHealthcare Medicare Advantage due to dissatisfaction with payment performance and administrative burdens.,exit,provider_payer_exit
Medicare Advantage’s ‘sunk-cost’ problem,2026-02-20T08:40:53-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/medicare-advantages-sunk-cost-problem,3,Active Exit,Mayo Clinic,,Medicare Advantage,,2023-11-05,,"Rochester, MN",Adopting a more selective approach to Medicare Advantage contracts.,,"Mayo Clinic ended contracts with most Humana and UnitedHealthcare Medicare Advantage plans in November 2023, taking a more selective approach to their participation in the program.",exit,provider_market_exit
4 Corewell hospitals no longer in UnitedHealthcare network,2026-01-14T11:12:47-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/4-corewell-hospitals-no-longer-in-unitedhealthcare-network,1,Active Exit,Corewell Health,UnitedHealthcare,Commercial,,2026-01-01,MI,"Dearborn, Taylor, Trenton, Wayne",,"Some members are eligible for continuity of care, including patients who are pregnant or undergoing cancer treatment.","Four hospitals under Corewell Health are no longer in UnitedHealthcare’s network as of January 1, 2026. This affects the Dearborn, Taylor, Trenton, and Wayne hospitals for employer-sponsored commercial plan and individual family plan members. Ongoing negotiations are taking place to find a solution for affected patients.",exit,provider_payer_exit
"Cigna, CommonSpirit's Memorial Hospital have yet to reach agreement",2026-01-13T15:22:11-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/cigna-commonspirits-memorial-hospital-have-yet-to-reach-agreement,1,Planned Exit,Memorial Hospital,Cigna,Commercial,,2026-02-01,TN,Chattanooga,Negotiation failure over rate increases,,Cigna and Memorial Hospital have not reached an agreement ahead of their Feb. 1 contracting deadline. The hospital is demanding rate increases that Cigna believes would force customers to pay more.,exit,provider_payer_exit
2 payer-provider contracts set to expire by 2026,2025-12-31T15:00:43-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/3-payer-provider-contracts-set-to-expire-by-2026,1,Active Exit,Lexington Medical Center,Cigna,Commercial,,2026-01-01,SC,"West Columbia, S.C.",,,"Cigna commercial members will no longer be able to receive services from Lexington Medical Center or its affiliated physicians effective January 1, 2026.",exit,provider_payer_exit
2 payer-provider contracts set to expire by 2026,2025-12-31T15:00:43-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/3-payer-provider-contracts-set-to-expire-by-2026,2,Active Exit,Southwestern Health Resources,Blue Cross and Blue Shield of Texas,Commercial,Blue Advantage HMO,2026-01-01,TX,"Farmers Branch, Texas",,,"Southwestern Health Resources will not be in network with the Blue Advantage HMO plan next year, effective January 1, 2026.",exit,provider_payer_exit
CMS terminates Medicare Advantage contract in Texas,2025-12-19T09:03:46-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/cms-terminates-medicare-advantage-contract-in-texas,1,Planned Exit,,American Health Plan of Texas,Medicare Advantage,,2026-12-31,TX,,Failed to meet minimum quality standards for three consecutive years.,Approximately 495 Medicare beneficiaries will be affected.,"CMS is terminating its Medicare Advantage contract with American Health Plan of Texas due to failure to meet quality standards. The termination will take effect on December 31, 2026, impacting around 495 beneficiaries in Texas.",exit,payer_market_exit
"UNC Health, Cigna reach 'long-term' agreement",2025-12-15T09:26:56-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/unc-health-cigna-reach-long-term-agreement,1,Resolved,University of North Carolina Health,Cigna,Commercial,,2025-12-01,NC,,"Contracting deadline missed, prompting hospitals, clinics, and providers to go out of network.","Approximately 65,000 Cigna members were informed of the change.","UNC Health and Cigna reached a long-term agreement after missing their Dec. 1 contracting deadline, which had caused providers to go out of network. The agreement is retroactive to Dec. 1 and covers all commercial plan members.",exit,provider_payer_exit
"BCBS of Minnesota, Aspirus St. Luke's ink agreement",2025-12-08T09:11:51-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/aspirus-st-lukes-to-leave-bcbs-of-minnesota-network,1,Planned Exit,Aspirus St. Luke's Hospital,Blue Cross and Blue Shield of Minnesota,Multiple,,2026-01-01,"MN,WI","Duluth, Two Harbors, Mooselake, Ashland, Superior",The insurer would no longer cover care at Aspirus St. Luke’s Hospital and other affiliated locations.,Members are advised to consider alternative options during open enrollment.,"Blue Cross and Blue Shield of Minnesota will no longer cover care at Aspirus St. Luke’s Hospital and other affiliated locations starting January 1, 2026. This decision affects members in Minnesota and Wisconsin, prompting them to consider alternative options during open enrollment.",exit,provider_payer_exit
No ACA plans to cover Chicago's Lurie Children's in 2026,2025-12-05T10:48:29-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/no-aca-plans-to-cover-chicagos-lurie-childrens-in-2026,1,Active Exit,Ann & Robert H. Lurie Children’s Hospital of Chicago,,ACA,,2026-01-01,IL,,Lurie Children’s is currently not contracted and out of network with all exchange plans inside and outside of Illinois.,,Ann & Robert H. Lurie Children’s Hospital of Chicago will not accept any ACA plans in 2026. The hospital is currently out of network with all exchange plans in Illinois.,exit,provider_market_exit
UNC Health out of network with Cigna,2025-12-01T11:02:08-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/unc-health-cigna-miss-contract-deadline,1,Active Exit,University of North Carolina Health,Cigna,Unknown,,2025-12-01,,Chapel Hill,Contract negotiation deadline missed.,"Approximately 65,000 Cigna members are impacted.","University of North Carolina Health is out of network with Cigna as of December 1, 2025, following a missed contract negotiation deadline. This affects around 65,000 Cigna members in Chapel Hill, and the health system is working to minimize disruption in care.",exit,provider_payer_exit
Trinity's Mount Carmel back in network with Humana,2025-11-26T14:09:00-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/trinitys-mount-carmel-back-in-network-with-humana,1,Resolved,Mount Carmel Health System,Humana,Medicare Advantage,,2025-10-01,OH,Columbus,Mount Carmel left Humana’s network at the start of 2025.,,"Mount Carmel Health System is back in network with Humana, effective October 1, 2025, after leaving the network at the start of 2025. The agreement will span multiple years and is important for delivering preventive care for Ohioans.",exit,provider_payer_exit
PacificSource keeps St. Charles in network,2025-11-13T15:17:25-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/pacificsource-keeps-st-charles-in-network,1,Active Exit,St. Charles Health System,,Medicare Advantage,,,OR,,St. Charles has already dropped Humana and Centene MA plans and has floated the idea of leaving all of them.,,St. Charles Health System has dropped Humana and Centene Medicare Advantage plans and is considering exiting all Medicare Advantage options. This decision reflects ongoing negotiations to ensure continued access to healthcare services.,exit,provider_market_exit
"Northern Light, Anthem miss contract deadline: 'A recipe for patient confusion'",2025-11-04T09:04:54-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/northern-light-anthem-miss-contract-deadline-a-recipe-for-patient-confusion,1,Planned Exit,Northern Light Health,Anthem Blue Cross Blue Shield,Unknown,,2025-10-31,ME,,Failed to establish a new contract by the deadline.,Potential confusion and incorrect charges to patients.,"Northern Light Health and Anthem Blue Cross Blue Shield failed to establish a new contract by the October 31 deadline. Northern Light will continue to treat patients as in-network until the end of the year, but there are concerns about patient confusion and billing issues.",exit,provider_payer_exit
Lehigh Valley Health Network to drop UnitedHealthcare over reimbursement,2025-10-29T09:20:45-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/lehigh-valley-health-to-drop-unitedhealthcare-over-reimbursement,1,Planned Exit,Lehigh Valley Health Network,UnitedHealthcare,Medicare Advantage,,2026-01-25,PA,,Reimbursement issues,,"Lehigh Valley Health Network plans to terminate its contract with UnitedHealthcare due to unresolved reimbursement issues. The health system will go out of network with UnitedHealthcare’s Medicare Advantage plans on January 25, 2026.",exit,provider_payer_exit
Lehigh Valley Health Network to drop UnitedHealthcare over reimbursement,2025-10-29T09:20:45-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/lehigh-valley-health-to-drop-unitedhealthcare-over-reimbursement,2,Planned Exit,Lehigh Valley Health Network,UnitedHealthcare,Commercial,,2026-04-25,PA,,Reimbursement issues,,"Lehigh Valley Health Network plans to terminate its contract with UnitedHealthcare due to unresolved reimbursement issues. The health system will go out of network with UnitedHealthcare’s commercial plans on April 25, 2026.",exit,provider_payer_exit
UnitedHealthcare calls out healthcare groups' 'cynical' contract negotiation strategy,2025-10-06T09:16:44-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/unitedhealthcare-calls-out-healthcare-groups-cynical-contract-negotiation-strategy,1,Active Exit,Johns Hopkins Medicine,UnitedHealthcare,Multiple,,2023-08-25,MD,Baltimore,Contract negotiation disputes,,Johns Hopkins Medicine has been completely out of network with UnitedHealthcare since August 25 due to contract negotiation disputes. The healthcare group has stated it does not wish to turn away any employers or patients from their care.,exit,provider_payer_exit
UnitedHealthcare calls out healthcare groups' 'cynical' contract negotiation strategy,2025-10-06T09:16:44-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/unitedhealthcare-calls-out-healthcare-groups-cynical-contract-negotiation-strategy,2,Active Exit,Capital Women’s Care,UnitedHealthcare,Multiple,,2023-08-01,MD,Fulton,Requested steep payment increases,,Capital Women’s Care is out of network with UnitedHealthcare as of August 1 due to requested steep payment increases that did not align with other OB-GYN providers in the region. The organization is continuing to negotiate.,exit,provider_payer_exit
Sarasota Memorial back in network with Cigna after 5 years,2025-10-03T09:47:43-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/sarasota-memorial-back-in-network-with-cigna-after-5-years,1,Resolved,Sarasota Memorial Health Care System,Cigna,Commercial,,2025-10-01,FL,,Contract negotiations fizzled in 2019.,Cigna commercial plan members can now access services.,"Sarasota Memorial Health Care System stopped accepting Cigna plans in 2020 after contract negotiations fizzled in 2019. As of October 1, 2025, Cigna is back in network, allowing members access to two acute-care hospitals and other services.",exit,provider_payer_exit
"Northern Light Health, Anthem agree to 30-day contract extension",2025-10-01T15:36:36-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/northern-light-health-anthem-split-amid-negotiations,1,Planned Exit,Northern Light Health,Anthem Blue Cross and Blue Shield,Commercial,,2025-10-31,ME,,Contract negotiations ongoing without agreement.,Northern Light Health physicians and medical providers would have been out of network for Anthem commercial insurance plans.,"Northern Light Health and Anthem Blue Cross and Blue Shield have agreed to extend their contract until October 31, 2025, as they continue negotiations. Without this extension, Northern Light Health providers would have been out of network for Anthem's commercial plans.",exit,provider_payer_exit
"UnitedHealthcare, Ascension Wisconsin contract ends",2025-10-01T11:26:39-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/unitedhealthcare-ascension-wisconsin-contract-ends,1,Active Exit,Ascension Wisconsin,UnitedHealthcare,Unknown,,2025-10-01,WI,,Ascension Wisconsin declined UnitedHealthcare's latest proposal and chose to leave the network.,Patients covered by UnitedHealthcare receiving care at Ascension Wisconsin hospitals and facilities will be affected.,"Ascension Wisconsin is out of network with UnitedHealthcare as of October 1, 2025. The health system declined the proposed reimbursement rates, which they felt did not account for financial pressures. Patients covered by UnitedHealthcare will need to transition to new care providers.",exit,provider_payer_exit
Northern Light Health CEO calls out Anthem for 'campaign of misinformation',2025-09-26T10:38:18-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/northern-light-health-ceo-calls-out-anthem-for-campaign-of-misinformation,1,Planned Exit,Northern Light Health,Anthem Blue Cross and Blue Shield,Unknown,,,ME,"Brewer, Maine","Contract end date between Northern Light Health and Anthem is approaching, leading to concerns about mediation.",Potential jeopardy to access to care for rural patients.,"Northern Light Health is facing a contract end with Anthem Blue Cross and Blue Shield, expressing concerns over mediation and potential impacts on rural patient care.",exit,provider_payer_exit
"Oregon payer will not renew Medicaid contract, affecting 100,000 patients",2025-09-24T09:45:11-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/oregon-payer-will-not-renew-medicaid-contract-affecting-100000-patients,1,Planned Exit,,PacificSource,Medicaid,,2025-01-01,OR,"Lane County, including Eugene",Failed to reach an agreement with the Oregon Health Authority,"100,000 Medicaid members affected","PacificSource will exit Medicaid services for 100,000 members in Lane County, effective January 1, 2025, due to unsuccessful contract negotiations with the Oregon Health Authority. This decision is expected to significantly impact many Oregonians relying on these services.",exit,payer_market_exit
"Oregon payer will not renew Medicaid contract, affecting 100,000 patients",2025-09-24T09:45:11-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/oregon-payer-will-not-renew-medicaid-contract-affecting-100000-patients,2,Planned Exit,,PacificSource,Medicaid,,2025-01-01,OR,Health Share of Oregon,Exit from coordinated care organization,,"In addition to exiting Medicaid services, PacificSource will also exit Health Share of Oregon, a coordinated care organization involved with Medicaid, effective January 1, 2025.",exit,payer_market_exit
TriHealth in talks with UnitedHealthcare,2025-09-19T14:32:26-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/trihealth-in-talks-with-unitedhealthcare,1,Planned Exit,TriHealth,UnitedHealthcare,Unknown,,2025-12-31,,Cincinnati,Contract expiration and negotiation disputes.,"80,000 members potentially affected.","TriHealth is negotiating its contract with UnitedHealthcare, which is set to expire at the end of the year. If UnitedHealthcare goes out of network, it would affect 80,000 members in Cincinnati due to disputes over claim denials and payment delays.",exit,provider_payer_exit
Johns Hopkins ends talks with UnitedHealthcare without new deal,2025-09-16T08:37:37-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/johns-hopkins-ends-talks-with-unitedhealthcare-without-new-deal,1,Active Exit,Johns Hopkins Medicine,UnitedHealthcare,Unknown,,2023-08-25,,Baltimore,Ended contract negotiations without a new deal.,Patients are advised to explore alternative insurance options.,Johns Hopkins Medicine went out of network with UnitedHealthcare on August 25 after contract negotiations failed. The health system is informing patients to explore alternative insurance options during the upcoming open enrollment season.,exit,provider_payer_exit
