title,published_dt,sources,sections,urls,keep_reason,is_keep_override,excluded_reason
Kaiser Permanente’s $9.3B net income draws scrutiny: Six things to know,2026-03-30T21:01:25+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMitgFBVV95cUxOZTRiYW5ZQzNQcG9SLVZiWV9yVXlPR2cwLVlXbEM4Wnl4ZXVQR29DNVBhSGNSOEJIdkRUSlJ2elpqdDZWQW5KMnBKbzc3MzFydkNyZTIxd3EtT09PeVJ1VGRyandSQnhwZUczZlpyYXFXNEJUel9mWVYzTXVOMVItSmROc3ZJTGVVLWx5Y2hfQlg2Q0E3ZXNYU1htbWxlcjAzMDcxSEFJel9qV1BIdHhKaFZpS1RKdw?oc=5,,False,net income
81 health systems ranked by annual revenue,2026-04-13T12:00:00+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMikwFBVV95cUxPa2pwLVBNaldRSVp1TlVBRUo4MzRzSmRRcDNOVTRfalp1cHNqYnpRdW5OV0ZVVUx0MTJpV1NUZTNBWnltZUtnSEd5LWxzMnFZQjU0ZkZtRGFWYzdVQllTR01XeWFXU1piR2NQUXhXd3NqRjZ6YzN5RWdZRTNpdWhORk5VX0ZTQmxNVHc1UFRvM0ZjVVk?oc=5,,False,revenue
67 health systems ranked by net income,2026-05-08T07:00:00+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMijgFBVV95cUxNOHhvOWkyamdYUlZtUm5jOGIwLTlGUjJYTmpFTmZsYnZ1RVZRNnlYTUQ3YUVsdDlFZ1dqbjFldGMyXzUxZ3paN0lXaHpJaGg4eW10ckRHY25vN3J1dUh6YUVUMnFOLWdWUm9DX1RpWVoyOUt0V1dXV3NlbXlFdnI5N3hGelZVSkNSNFJwYnN3?oc=5,,False,net income
House committee votes to defund WISeR prior authorization pilot,2026-06-10T14:48:23+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMirwFBVV95cUxPLUNHdzgzR0szZDlZblN2SGwyRmJXOUFNTW9HbjZqU2xYbEpKNFhENHlIU3QyZi1pclVtVW53VWV4cDRKaWhsd29CR2w0RUlJd2oxZHdkM0ZrODhDeWpScnZXemhJbnRYTElfU0o2VmRsVlJWeXd2NkVTVGs0eGk0ODFBUGdqRjMyTVBXOGw3N2FhLTctWjltZnJRNG9fMURPVlE1aEtCV3lfU2JoeUFR?oc=5,,False,prior authorization
Revenue Cycle Management Archives - Becker's Hospital Review | Healthcare News & Analysis,2026-03-09T19:15:48+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMie0FVX3lxTE1fMGJ4MW9vWlNzbWhWdGljUGVnYXBwcjhaZ1h1OE9vVlliQmljLWk1aXpzU3ZSQVlrR0pUTkN2c3FkanpTUHllb3ptNVctMnI3akphNHJNWHkyOFpCdHBZejMwSVVWdFpqUENXN0JtcUtvdy1tQWlTS3Z2Zw?oc=5,,False,Revenue
Sanford Health posts 1.8% operating margin in 2025,2026-02-18T08:00:00+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMinAFBVV95cUxQQjRCRG56cjRMRnVsRE95WmltdEZzQ2xTZzl0Z0VlRzk4R2FHTF9RSnFUeHVtVkF4Sjl1X3hWeDFnVjNEUDFiX1VObnhSamlaV2k3SzlGaGZBM1Y2SGROdWFTMDduTkNpdlM4N2ZRX2lqNXB3dXByaHhOdnhDdlY1LUhKcHlhUGJ3eEhxdWtTZHhubU1TMGdwWXJESDY?oc=5,,False,operating margin
"Insurers’ prior authorization commitments, 1 year in",2026-07-20T21:47:42+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMingFBVV95cUxQdDFvRnc3YXJWU2w4WXBlbWdtSW1DZjE0VUdmdWVkTlhCazVQQzdBMG9WclJaRDZnTkExLU53QjRiaUEzbkNVaHRSU1ZuZ2Q2XzBtekxxN3JRUklrT3VMa3dJZVppOFpTd2NRRUFjQkszOEhjOUJoYURhbm9fY29JSDlIVmlSajRKMW8tVlcweXkzd3cyZVh0X1Z3WjNTdw?oc=5,,False,prior authorization
Inside UVM Health’s affordability-centered response to a $220M revenue hit,2026-07-29T21:41:57+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNZ3hYZWtlM1h2SlktaGZQbV91NmhwY1N6VzFOVUwwMGNIbVNyamRYdi03WmRGU3dpM1BOR2w3SWdRa0l6aU9RamlyM2xuU2ptRkhya1hVMUNaX2xUSFRLTWgxM3lLYm0tbHFScUJMNy11Sk0xeDlXakoyc3NxMUNjTVdudmNScDd2anJJLS16ZmFfbzRSLWo3WGFVWXFfaFR0Sk81R3R6Zk12TDRuN3VVTlp0R2M4UFN3bjNz?oc=5,,False,revenue
Revenue cycle leaders’ favorite KPIs,2026-06-08T07:00:00+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMiqwFBVV95cUxObldfY2NoU2RPX1Z2VUZES0praVJ0RUVaTUE5YzVja3JWYjdHQzBZN1Z4S3ZRRlpGazA3U2VlTXJocU1VN2JvTXBQVjlscUNaTlgzUDdPQ3JncTR3Q3FJel91eEc2VXd2Yjh1ZEJhWWlvSkppTmVzZldRWnNlMjBnN3ZqYjNUQzFJVTJ6Y3A4QWk4TzlzUzJkODBXSlNtRHVxYUlZbXJzUE94cTA?oc=5,,False,Revenue
Providence posts 0.8% Q2 margin as health plan winds down,2026-08-13T21:20:59+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMipgFBVV95cUxQNFJXZzQ2U0Rtb3VybW14UER3S05tR09oR21hSHk3VnBoWmJGRHVQbnlvam1Way11QlJycWJWU1Z1bEZkeUlfek5BZDdMWC1BVGQ1dkpjUkN5eGZwa1lrRXZJRmI3eTM3eVh6VGpfTFZUVVNpaXNLOFF0OUlVWlJNVm1HNEZLZVk2ZElOb2lzYzloUUQ0ZkxsYV9Sa2xQT2QzVTR2UE9R?oc=5,,False,Q2
Value-based payment programs tied to higher admin costs: Study,2026-08-12T21:27:01+00:00,Beckers Hospital Review,finance,https://news.google.com/rss/articles/CBMirAFBVV95cUxOTXdTSXRaV2xtbHRLVm1uTTNiNk9GZXNFbUREN1E1WHNRZlhoSC1uWGMtUGFWRmxFZkRiRXY4cVZoMXFiVlgtNGpMdEFMdFZjSG0tR2NGT0ZDZVRteFNYMlpZX3lJMExQRF8tX2dCTk9ZaHhFQmRnNGUzeTBZQ2x0WkpkREx6SHIyd1poSnBHdGFrd0x5TVc3elAwZWh1RHMtdTM3c1BfakhKMl81?oc=5,,False,Study
